1,16,15,20,13,0,4,11,7,13,14,8,10,28,28,37,16,6,12134,1754554435.6861484
3,21,29,11,6,2,0,9,4,1,5,2,16,3,3,14,7,11,12135,1754554435.6874437
1,2,7,1,5,2,4,6,1,4,13,0,0,1,2,3,5,8,12136,1754554435.6895707
4,23,10,29,1,10,0,9,11,12,18,1,20,1,11,16,11,12,12134,1754554436.0189788
2,0,12,5,3,1,3,5,1,6,4,5,15,2,2,21,22,5,12135,1754554436.0209641
3,7,5,1,2,3,5,3,3,5,22,12,16,7,4,4,7,1,12136,1754554436.023049
13,22,8,26,5,9,8,2,2,6,12,3,12,44,2,22,12,35,12134,1754554436.353957
2,9,4,12,9,3,7,3,5,2,8,12,2,1,8,20,5,16,12135,1754554436.3559735
10,1,5,12,2,2,20,10,23,2,5,16,16,22,2,3,7,0,12136,1754554436.3579707
9,18,8,3,26,11,8,10,3,7,6,8,29,36,16,6,18,54,12134,1754554436.6876085
11,4,9,4,15,17,14,0,5,3,4,0,9,2,5,12,12,28,12135,1754554436.6906276
9,1,32,13,3,3,16,9,13,2,3,19,2,16,3,2,7,16,12136,1754554436.6926236
4,10,23,21,18,9,8,15,1,3,4,6,28,6,29,3,38,41,12134,1754554437.0225484
4,19,8,4,3,14,2,9,3,10,4,11,7,2,5,23,7,34,12135,1754554437.0246606
0,19,17,21,5,2,1,3,19,6,3,15,4,17,4,8,2,13,12136,1754554437.0266612
9,4,6,17,17,4,3,6,1,9,8,6,36,10,18,5,12,41,12134,1754554437.3570137
17,25,10,7,2,3,8,12,4,5,2,8,8,12,22,22,6,4,12135,1754554437.3599067
17,11,7,19,4,7,13,6,28,8,10,5,3,4,6,10,5,2,12136,1754554437.3619044
12,1,19,22,11,11,13,12,16,2,7,0,1,5,1,4,3,8,12134,1754554437.6908462
4,7,14,5,5,4,3,8,3,2,4,0,6,14,7,16,2,5,12135,1754554437.6925397
2,33,36,12,0,14,11,0,1,0,5,1,0,5,7,4,0,7,12136,1754554437.6935875
6,5,14,8,6,1,4,3,5,13,6,4,5,5,33,12,3,2,12134,1754554438.0248098
23,2,4,4,7,3,6,2,1,2,6,12,17,4,17,4,13,13,12135,1754554438.0262208
3,8,22,14,2,10,4,2,12,1,2,8,13,6,7,5,0,1,12136,1754554438.0262208
4,3,16,18,7,15,9,9,9,12,13,10,9,16,12,9,27,6,12134,1754554438.358159
